lfdn,code_2320,code_2330
18718,3.0,6.0
18719,5.0,6.0
4735,3.0,13.0
1759,5.0,9.0
18720,5.0,10.0
18721,2.0,3.0
18722,3.0,6.0
3370,3.0,6.0
16474,2.0,6.0
1550,3.0,7.0
18723,5.0,10.0
18724,2.0,4.0
18725,5.0,14.0
16210,2.0,6.0
5261,2.0,14.0
4742,5.0,10.0
10481,3.0,3.0
10871,3.0,8.0
6496,5.0,14.0
447,3.0,7.0
18726,3.0,12.0
18727,2.0,4.0
6600,3.0,3.0
11908,4.0,10.0
4716,3.0,8.0
8044,5.0,9.0
18728,5.0,10.0
18729,2.0,3.0
17963,3.0,8.0
5254,3.0,4.0
18730,3.0,4.0
18731,5.0,9.0
5596,3.0,8.0
18732,2.0,4.0
4754,2.0,6.0
18733,5.0,3.0
18734,4.0,8.0
18735,2.0,3.0
18736,2.0,6.0
5308,3.0,6.0
3504,4.0,13.0
17671,3.0,12.0
18737,2.0,14.0
18738,2.0,3.0
15501,3.0,6.0
18739,5.0,10.0
6299,3.0,13.0
10352,3.0,13.0
18740,2.0,8.0
18741,2.0,3.0
18742,2.0,3.0
18743,2.0,3.0
4761,5.0,14.0
4762,2.0,6.0
18744,2.0,4.0
12478,5.0,10.0
10258,2.0,8.0
4765,4.0,9.0
4766,5.0,10.0
18745,2.0,6.0
11275,3.0,8.0
13044,3.0,10.0
6358,5.0,10.0
7391,2.0,12.0
4771,3.0,4.0
17885,3.0,3.0
4773,5.0,10.0
18746,2.0,4.0
18747,3.0,4.0
9512,2.0,4.0
17830,3.0,4.0
874,3.0,8.0
10035,2.0,3.0
10626,3.0,6.0
18748,2.0,14.0
18749,2.0,3.0
18750,4.0,9.0
16975,2.0,14.0
18751,2.0,6.0
6031,3.0,12.0
16372,5.0,13.0
18752,2.0,6.0
18753,3.0,4.0
18754,4.0,10.0
15304,5.0,10.0
4784,2.0,7.0
15872,3.0,3.0
16449,3.0,7.0
18755,3.0,13.0
18756,4.0,4.0
18757,4.0,9.0
18758,3.0,4.0
11831,3.0,3.0
1195,2.0,14.0
4789,2.0,6.0
4790,3.0,6.0
2453,2.0,1.0
18759,3.0,12.0
18760,2.0,4.0
3555,2.0,12.0
5517,4.0,7.0
18761,5.0,4.0
18762,3.0,4.0
18763,2.0,4.0
1202,2.0,3.0
10666,4.0,8.0
11432,9.0,
18764,2.0,6.0
18765,3.0,8.0
18766,4.0,9.0
18767,3.0,3.0
18768,2.0,6.0
18769,3.0,4.0
15010,3.0,4.0
6145,2.0,3.0
13429,3.0,12.0
18770,3.0,6.0
13063,4.0,7.0
1007,5.0,6.0
18771,2.0,4.0
18772,3.0,6.0
14714,2.0,14.0
4803,1.0,14.0
4804,5.0,12.0
18773,4.0,9.0
18774,2.0,4.0
18775,2.0,3.0
427,4.0,9.0
16049,5.0,12.0
12612,4.0,9.0
13535,5.0,4.0
17590,2.0,8.0
2513,3.0,14.0
8263,4.0,12.0
5365,5.0,14.0
8106,5.0,10.0
2133,3.0,4.0
17512,5.0,4.0
4816,3.0,4.0
18776,5.0,4.0
11535,3.0,6.0
11162,3.0,4.0
4819,3.0,4.0
6721,2.0,3.0
6288,2.0,12.0
